key,0,1,2,3,4,5,6,7,8,9,10
312,0,,"",0,"BannerCondition#0",0,0,0,,0,""
313,0,,"",0,"BannerCondition#0",0,0,0,,0,""
314,0,,"",0,"BannerCondition#0",0,0,0,,0,""
315,0,,"",0,"BannerCondition#0",0,0,0,,0,""
316,0,,"",0,"BannerCondition#0",0,0,0,,0,""
317,0,,"",0,"BannerCondition#0",0,0,0,,0,""
318,0,,"",0,"BannerCondition#0",0,0,0,,0,""
319,0,,"",0,"BannerCondition#0",0,0,0,,0,""
320,0,,"",0,"BannerCondition#0",0,0,0,,0,""
321,0,,"",0,"BannerCondition#0",0,0,0,,0,""
322,0,,"",0,"BannerCondition#0",0,0,0,,0,""
323,0,,"",0,"BannerCondition#0",0,0,0,,0,""
324,0,,"",0,"BannerCondition#0",0,0,0,,0,""
325,0,,"",0,"BannerCondition#0",0,0,0,,0,""
326,0,,"",0,"BannerCondition#0",0,0,0,,0,""
327,0,,"",0,"BannerCondition#0",0,0,0,,0,""
328,0,,"",0,"BannerCondition#0",0,0,0,,0,""
329,0,,"",0,"BannerCondition#0",0,0,0,,0,""
330,0,,"",0,"BannerCondition#0",0,0,0,,0,""
331,0,,"",0,"BannerCondition#0",0,0,0,,0,""
332,0,,"",0,"BannerCondition#0",0,0,0,,0,""
333,0,,"",0,"BannerCondition#0",0,0,0,,0,""
334,0,,"",0,"BannerCondition#0",0,0,0,,0,""
335,0,,"",0,"BannerCondition#0",0,0,0,,0,""
336,0,,"",0,"BannerCondition#0",0,0,0,,0,""
337,0,,"",0,"BannerCondition#0",0,0,0,,0,""
338,0,,"",0,"BannerCondition#0",0,0,0,,0,""
339,0,,"",0,"BannerCondition#0",0,0,0,,0,""
340,0,,"",0,"BannerCondition#0",0,0,0,,0,""
341,0,,"",0,"BannerCondition#0",0,0,0,,0,""
342,0,,"",0,"BannerCondition#0",0,0,0,,0,""
343,0,,"",0,"BannerCondition#0",0,0,0,,0,""
344,0,,"",0,"BannerCondition#0",0,0,0,,0,""
345,0,,"",0,"BannerCondition#0",0,0,0,,0,""
346,0,,"",0,"BannerCondition#0",0,0,0,,0,""
347,0,,"",0,"BannerCondition#0",0,0,0,,0,""
348,0,,"",0,"BannerCondition#0",0,0,0,,0,""
349,0,,"",0,"BannerCondition#0",0,0,0,,0,""
350,0,,"",0,"BannerCondition#0",0,0,0,,0,""
